sentence,translation
Do not move my small fruit!,मम लघु फलं मा अपनय।
Will I find them behind a tree?,किम् अहं तान् वृक्षस्य पार्श्वे प्राप्स्यामि?
She said I should not climb there.,सा उक्तवती यत् मया तत्र न आरोहनीयम्।
I like that you always have a plan.,भवतः समीपं सर्वदा नियोजनं भवति इत्येतत् मह्यं रोचते।
We are too far away to see the tree.,वृक्षं द्रष्टुं वयम् अतीव दूरं स्मः।
It would be good to see my home again.,मम गृहस्य दर्शनम् अतीव उत्तमं स्यात्।
Get off that tree or I will call your parents!,तस्मात् वृक्षात् अवतरतु नो चेत् अहं भवतः मातापितरौ आह्वयामि।
He thought she could see him.,सः चिन्तितवान् यत् सा कदाचित् तं दृष्टवती।।
It is hard to have so much energy.,एतावत्याः ऊर्जायाः प्राप्तिः कठिना अस्ति।
I planned to call you yesterday.,अहं ह्यः भवन्तम् आह्वयितुं योजनां कृतवान्।
Don't dig over there because it's too far.,तत्र मा खनतु यतः तत् बहुदूरम् अस्ति।
What time did he say he would call?,सः कदा आह्वयेत् इति सः उक्तवान्?
Maybe they should go home now.,तैः इदानीं गृहं गन्तव्यं भवेत्।
They had not looked for a rock of that color.,तैः तस्य वर्णस्य पाषाणः न दृष्टः स्यात्।
He used to be our calmest friend.,सः अस्माकम् अतीव शान्तः सखा आसीत्।
They wanted us to find a purple leaf.,ते अस्माभिः धूमलवर्णस्य पर्णस्य अन्वेषणम् ऐच्छत्।
When can you plan our next dig?,भवान् अस्माकम् अग्रिमखननस्य योजनां कदा कर्तुं शक्नोति?
Please move it to a better time.,कृपया एतत् योग्यसमये नयतु।
Is it too late to call your parents?,भवतः मातापित्रोः आह्वानं कर्तुम् इदानीं बहुविलम्बः जातः वा?
I didn't plan on doing that ever again!,अहं पुनः एतत् कर्तुं कदापि न चिन्तितवान्।
I wish you could see this like I do.,अहं कामये यत् भवान् एतत् मम दृष्ट्या पश्येत्।
Will you only look for your family?,किं भवान् केवलं भवतः परिवारम् द्रक्ष्यति?
We have seen the star high in the sky.,वयम् आकाशे उच्चैः तारिका दृष्टवन्तः।
We are aboard a boat.,वयं नौकाम् आरूढाः।
She talked about the sun.,सा सूर्यविषये वदति।
The sky is above the sea.,समुद्रस्य उपरि आकाशः अस्ति।
They will be across the water.,ते जलपारं भविष्यन्ति।
He wanted to rest after the long night.,सः दीर्घरात्रेः अनन्तरं विश्रामं कर्तुम् ऐच्छत्।
Are you with them or against them?,किं भवान् तैः सह उत विरुद्धः?
We walked along the trail for an hour.,वयम् एकहोरां यावत् पदमार्गेण चलितवन्तः।
There might be animals among us.,अस्मासु केचन पशवः भवेयुः।
We must go around the forest.,वयं निखिलं वनं गच्छेम एव।
He is as tall as a tree.,सः वृक्ष इव उन्नतः अस्ति।
Are you at the home right now?,किं भवान् सद्यः गृहे अस्ति?
Let's eat before we talk.,संभाषणात् पूर्वं भोजनं कुर्व।
I think you should follow behind.,अहं चिन्तयामि यत् भवान् पृष्ठतः अनुसरेत्।
The water below me is brown.,मत्तः अधस्तनं जलं पिङ्गलम् अस्ति।
Swimming in the evening is beneath her.,सायङ्काले जलतरणं तस्याः अधः अस्ति।
The fruit is beside the river.,फलं नदीतीरे अस्ति।
Nothing is between me and the sky.,मम आकाशस्य च मध्ये किमपि नास्ति।
Do you want to see beyond the forest?,किं भवान् वनात् पारं द्रष्टुम् इच्छति?
"She is not kind, but I still like her.",सा दयावती नास्ति तथापि मह्यं सा रोचते।
Rest with me by the fire.,अग्निं परितः मया सह विश्रामं करोतु।
She loves her despite her appearance.,तस्याः तादृशे स्वरूपे सत्यपि सा तस्यां स्निह्यति।
The tree has fallen down!,वृक्षः पतितः।
Did she wake up at the night?,किं सा रात्रौ उत्थितवती?
Everyone left except him.,तं विहाय सर्वे गतवन्तः।
The stars shine for them.,तेषां कृते तारिकाः प्रकाशन्ते।
Is this gift from him or her?,किम् एतत् उपायनं तस्मात् उत तस्याः?
Have they swum in the river before?,किं ते पूर्वम् एव नदीम् उत्तीर्णाः?
Please go inside in a couple minutes.,कृपया निमिषद्वयात् अन्तः गच्छतु।
They will go into the forest without fear.,ते निर्भयं वनं गमिष्यन्ति।
She is like a wild animal.,सा वन्यपशुः इव अस्ति।
Don't let her get near the river.,तां नदीसमीपं गन्तुं न अनुमन्यताम्।
My friend is sitting next to her sibling.,मम मित्रं तस्याः सहोदरात् परे उपविष्टः अस्ति।
A lot of the fruit is gone.,बहूनि फलानि गतानि सन्ति।
How should he jump off the tree?,सः कथं वृक्षात् कूर्देत।
They were sitting on the dirt.,ते अवकरे उपविष्टाः आसन्।
They have climbed onto the tree.,ते वृक्षम् आरूढाः सन्ति।
There will be five animals out in the forest.,वृने पञ्च पशवः स्युः।
Jump over the yellow dirt.,पीतवर्णे अवकरे कूर्दताम्।
Be careful walking past the animal.,अनुपशु सावधानं चलतु।
There would be two fruits per person.,प्रतिजनं फलद्वयं भवेत्।
Two plus two is four.,द्वे अधिकं द्वे इति चत्वारि।
Let's have a chat regarding the child.,बालकविषये चर्चा भवतु।
We walked 'round the tree.,वयं वृक्षं परितः चलितवन्तः।
All of us left save for my parent.,वयंं सर्वे मातापित्रोः कृते सञ्चयं कृत्वा गतवन्तः।
I won't come since I have no money.,यावत् मम पार्श्वे धनं नास्ति तावत् अहं न आगमिष्यामि।
Is he older than her?,किं सः तस्याः ज्येष्ठः?
She wants us to go through the forest.,सः इच्छति यत् वयं वनाभ्यन्तरात् गच्छेम।
We slept till the sunrise.,वयं सूर्योदयं यावत् सुप्ताः।
Are you going to the river?,किं भवान् नदीं गच्छति?
Look toward the stars for guidance.,मार्गदर्शनार्थं तारिकाः पश्यतु।
Why is he under the water?,सः जलस्य अन्तः किमर्थम् अस्ति?
Underneath his appearance is a kind heart.,तस्य स्वरूपम् अनु सदयहृदयम् अस्ति।
"Unlike me, she is very fast.",मद् विपरीतं सा अतीव तीव्रगामिनी अस्ति।
Wait until I am ready.,यावत् अहं सिद्धः तावत् तिष्ठतु।
The fish swim up to the surface.,मीनः उपरि जलस्तरे तरति।
He sits upon a throne.,सः सिंहासने विराजमानः अस्ति।
Let's talk about swimming versus running.,तरण-धावनयोः तुलनाविषये चर्चां कुर्व।
She told them via letter.,सा तान् पत्रद्वारा उक्तवती।
Why aren't you with me?,भवान् मया सह किमर्थं नास्ति?
Fear is not within their heart.,तेषां हृदये भयं नास्ति।
Don't go without us!,अस्माकं विना मा गच्छतु।
Please have another piece of fruit.,कृपया फलस्य अपरं भागं स्वीकरोतु।
Do you have any water?,किं भवतः समीपं जलम् अस्ति?
Anyone can dance.,कोऽपि नृत्यं कर्तुं शक्नोति।
We will do anything for her.,वयं तस्याः कृते किमपि करिष्यामः।
Let's travel anywhere but here.,कुत्रापि यात्रां करोति परन्तु अत्र।
They want both fruit and water.,ते फलं च जलं च द्वयमपि इच्छन्ति।
Are you certain of that?,किं भवान् एतद्विषये निश्चितः?
He loves each animal equally.,सः प्रत्येकं प्राणिषु समानं स्निह्यति।
You can have either this or that.,भवतः समीपं एतत् स्यात् अथवा तत् स्यात्।
They don't have enough leaves.,तेषां समीपं पर्याप्तपर्णानि न सन्ति।
Every child has a favorite color.,प्रत्येकं बालकस्य प्रियः वर्णः भवति।
Is everyone okay with the plan?,योजनानुसारं सर्वं योग्यं वा?
The sun shone on everything.,सूर्यः सर्वत्र प्रकाशितवान्।
"Everywhere I go, I smile.","यत्रकुत्रापि अहं गच्छामि, अहं स्मितं करोमि।"
A few children like swimming.,केभ्यश्चित् बालकेभ्यः जलतरणं रोचते।
Where were you last night?,भवान् गतरात्रौ कुत्र आसीत्?
It the least intelligent animal.,एषः अत्यल्पमतिः पशुः अस्ति।
Give me less fruit.,मह्यं न्यूनं फलं ददातु।
They are a little tired.,ते किञ्चित् श्रान्ताः सन्ति।
Many people love the sea.,अनेकेभ्यः जनेभ्यः समुद्रः रोचते।
She wanted more water.,सा अधिकं जलम् ऐच्छत्।
Most forests have lots of trees.,बहुषु वनेषु प्रभूताः वृक्षाः सन्ति।
"I don't have much, but it's enough.","मम समीपं बहुकिमपि नास्ति, तथापि एतत् पर्याप्तम्।"
That animal can neither run nor walk.,सः पशुः न धावितुं न च चलितुं शक्नोति।
Do you want to sit next to her?,किं भवान् तां निकषा उपवेष्टुम् इच्छति?
"No, they can't eat rocks!","न, ते पाषाणान् न खादितुं शक्नुवन्ति।"
None of them are coming.,तेेषु कोऽपि न आगच्छति।
Nothing can stop me.,किंमपि मां रोद्धुं न शक्नोति।
I have nowhere I need to go.,मया कुत्रापि गन्तव्यं नास्ति।
I once ate fruit.,अहम् एकवारं फलं खादितवान्।
Several children can climb.,केचन बालकाः आरोहणं कर्तुं शक्नुवन्ति।
Some parents don't know me.,केचन मातापितरौ मां न जानन्ति।
"Somebody help, please!",कश्चित् कृपया मम सहायतां करोतु।
Something is in the water.,जले किपमि अस्ति।
I am somewhere in the forest.,अहं वने कुत्रचित् अस्मि।
What is your name?,तव नाम किम्?
We can make whatever he wants.,सः यद् इच्छति तद् वयं निर्मातुं शक्नुमः।
Which of you is a parent?,भवत्सु पालकः कः अस्ति?
Visit whichever forest is west of here.,इतः पश्चिमतः यत् वनम् अस्ति तत्र गच्छतु।
"If the fruit is big and low to the ground, you can eat it.",यदि बृहदाकारकं च भूम्याः नीचैः च फलम् अस्ति तर्हि भवान् तत् खादितुं शक्नोति।
Just move over here and then you can hear the children.,केवलं इतः प्रस्थानं करोतु तदा भवान् बालकान् श्रोतुं शक्नोति।
"One hour ago, your sibling dug up that fruit.",एकहोरापूर्वं भवतः सहोदरः तत् फलं खनितवान्।
I always call my friend at the last hour of the day.,अहं सर्वदा ममं मित्रं दिनस्य अन्तिमहोरामध्ये आह्वयामि।
When do you think you will get home this time?,अधुना भवान् गृहं कदा गमिष्यति इत्यत्र भवान् किं चिन्तयति?
Who wants to wander around at night when it's so dark?,को वा रात्रौ एतादृशे अन्धःकारे जाते भ्रमितुम् इच्छति?
Soon I will be the last child of my family who is at home.,शीघ्रम् एव अहं मम परिवारस्य अन्तिमः गृहस्थितः बालकः भविष्यामि।
"It is the middle of the day, so you should stay behind.",एषः मध्याह्नसमयः अस्ति अतः भवान् पार्श्वे तिष्ठतु।
"I would give her it, but she might not think it is a good rock.","अहं एनं तस्यै दद्यात्, परन्तु एषः उत्तमः पाषाणः अस्ति इति कदाचित् सा न चिन्तयेत्।"
She was so far away that we had to call for her three times.,सा बहुदूरस्थिता आसीत् यस्मात् अस्माभिः सा त्रिवारम् आहूता।
Why did you look behind you like that?,भवान् भवतः पार्श्वे तथा किमर्थं दृष्टवान्?
She has such wild energy that it is hard to calm her down.,तस्याः वन्य-ऊर्जा एतावती अस्ति यत् तस्या शमनं कठिनम् अस्ति।
"Does the color look blue to you, or is it actually white?",किम् भवता एषः वर्णः नीलः दृश्यते उत वस्तुतः एषः शुभ्रः एव?
"That would not be the first time, but I hope it is the last.","एतत् प्रथमं न स्यात्, परन्तु अहम् आशासे यत् एतत् अन्तिम् अस्ति।"
She wanted him to find a rock as small as hers.,सा ऐच्छत् यत् सः तस्याः इव पाषाणस्य अन्वेषणं कुर्यात्।
"Maybe if you hadn't found them, they would have moved.",यदि भवान् कदाचित् तान् न लब्धुं शक्तवान् तर्हि ते गताः भवेयुः।
You must have heard those children climbing!,नूनं भवान् एतान् बालकान् आरोहन्तः श्रुतवान् स्यात्।
Don't tell me that you didn't look for a black leaf.,मा वद यत् भवान् कृष्णपर्णस्य अन्वेषणं न कृतवान् इति।
Who else could have planned for such a day?,इतोऽपि कः एतादृशस्य दिवसस्य योजनां कृतवान् स्यात्।
The first child will be ahead of the second by only a little.,प्रथमः बालकः द्वितीयात् बालकात् ईषत् एव अग्रे भविष्यति।
They jumped here and there without ever finding it.,ते तत् न प्राप्य एव इतस्ततः कूर्दितवन्तः।
"Digging was very hard, hence the low energy.",खननं बहुकठिनम् आसीत् अतः ऊर्जा न्यूना वर्तते।
She would otherwise be an only child.,अन्यथा सा एका एव बालिका अभविष्यत्।
He would have seen the tree if he had been bigger.,यदि सः बृहदाकारः अभविष्यत् तर्हि सः वृक्षदर्शनम् अकरिष्यत्।
"Maybe the fruit on the ground is good, but probably not.","कदाचित् भूमिसंलग्नं फलम् उत्तमं स्यात्, तथापि संभवतः न।"
"I was ahead of you years ago, but not anymore.","कतिपयवर्षेभ्यः अहं त्वत्तः अग्रे आसम्, परन्तु इतःपरं न।"
I will find one sibling if they will find the other.,यदि ते अन्यं प्राप्स्यन्ति तर्हि अहम् एकस्य सहोदरस्य अन्वेषणं करिष्यामि।
I couldn't call you at such a time!,अहम् एतादृशे समये भवतः आह्वानं कर्तुं न शक्तवान्।
Where did they jump while you were looking at the stars?,यावत् भवान् तारिकाः पश्यन् आसीत् तदानीं ते कुत्र कूर्दिताः।
Don't move the yellow leaves until the year is over.,यावत् वर्षसमाप्तिः न भवति तावत् पीतपर्णानि न अपसारयतु।
"We didn't plan to hear it, but we still did.",अस्माभिः एतत् श्रोतुं योजना न कृता आसीत् तथापि अस्माभिः कृतम्।
"When I look at you, I see a good parent.",यदा अहं भवन्तं पश्यामि तदा अहम् उत्तमं पालकं पश्यामि।
"At this time of day, no one else is home.",दिवसस्य एतस्मिन् समये कोऽपि गृहे नास्ति।
They have heard neither the white star nor the red star.,ते श्वेततारिकां न श्रुतवन्तः न च रक्ततारिकाम्।
How many of those leaves are yellow?,तेषु कति पर्णानि पीतवर्णीयानि सन्ति?
"By this time tomorrow, she will have climbed three trees.",श्वः एतत्समयं यावत् तया वृक्षाः आरूढाः भविष्यन्ति।
"She is closer than him to the wild fruit, but he can't see that.","सा वन्यफलात् अपि तं निकषा अस्ति, तथापि सः तां द्रष्टुं न शक्नोति।"
What was she planning to tell you last night?,सा गतरात्रौ भवन्तं किं वक्तुं योजनां कुर्वाणा आसीत्?
I wouldn't climb that tree if I were you.,यदि अहं भवान् अभविष्यम् तर्हि अहं तस्य वृक्षस्य आरोहणं न अकरिष्यम्।
He found it easy to jump over the leaves.,पर्णेषु कूर्दनं तस्मै सरलम् आसीत्।
At what time do they plan on moving those rocks?,ते तान् पाषाणान् अपनेतुं कदा योजनां कुर्वन्ति।
I've always wanted to stay in a beach house.,अहं सर्वदा समुद्रतटीये गृहे निवासं कर्तुम् इच्छामि स्म।
The desert night was cold and dark.,मरुस्थलीया रात्रिः शीतला तमोमयी च आसीत्।
Mike must be working in the field today.,अद्य माईक् अवश्यमेव क्षेत्रे कार्यंं कुर्वाणः स्यात्।
How far is the forest from home?,वनं गृहतः कीयत् दूरं अस्ति?
The lake was looking beautiful.,तडागः सुन्दरः दृश्यते स्म।
The sea was rough.,समुद्रः कठिनः आसीत्।
Which plants are not green?,के गुल्माः हरिताः न सन्ति?
There are three small rooms in the house.,गृहे त्रयः लघुप्रकोष्ठाः सन्ति।
It was a sunny morning and by eight o'clock it was already hot.,सः सूर्यप्रकाशितः प्रातःकालः आसीत्। अथ च अष्टवादने तत् अतीव उष्णम् अभवत्।
The night was calm and fresh.,रात्रिः शान्ता प्रत्यग्रा च आसीत्।
Put on your white dress.,स्वकीयं शुभ्रं वस्त्रं उपरि स्थापयतु।
"Why did you think I sent you the flower, and that chocolate?","किं भवान् चिन्तयति यत् अहं भवते तत् पुष्पं, तत् च चॉकलेहं प्रषितवान्?"
I can make grass grow!,अहं तृणं वर्धयितुं शक्नोमि।
She was close to realizing a lifetime goal.,जीवनध्येयं साधयितुं सा अतीव निकटम् आसीत्।
Trees are truly life savers as they help reduce pollution.,वृक्षाः प्रदूषणम् अपाकुर्वन्ति अतः वृक्षाः अस्माकं वास्तविकाः जीवनरक्षकाः सन्ति।
"The climate on the coast is hot, humid, and unhealthy.","समुद्रतटीयं वातावरणम् उष्णम्, आर्द्रम्, अस्वस्थं च अस्ति।"
Leafs are turning yellow due to dry weather.,शुष्कवातावरणेन पर्णानि पीतानि भवन्ति।
The summer had been very dry and no berries grew.,ग्रीष्मः एतावान् शुष्कः जातः येन बदरिकाः न जाताः।
The rocks are not too high to climb.,पाषाणाः आरोहणं कर्तुं बहून्नताः न सन्ति।
Fruits are beneficial for health as they provide energy to work.,फलानि कार्यं कर्तुं शक्तिं यच्छन्ति अतः फलानि लाभाय सन्ति।
His shoes were covered with mud when he entered the house.,सः यदा गृहं प्रविष्टः तदा तस्य पादत्राणद्वयं पङ्केन आच्छादितम् आसीत्।
Indoor plants makes the house look attractive and pleasing.,गृहान्तर्गताः वनस्पतयः गृहम् आकर्षकं आनन्ददायकं च कुर्वन्ति।
How bright a star can be? Have you ever thought about this?,तारिकाः कीयती प्रकाशवती भवितुं शक्नोति? किं भवान् एतावत् पर्यन्तम् एतद्विषये चिन्तितवान्?
I wonder how the tree got so tall.,अहम् आश्चर्यचकितः यत् वृक्षः एतावान् उन्नतः।
They have yet to see the big beautiful white rock.,तैः एतादृशः महान् सुन्दरः च पाषाणः न दृष्टः।
I keep wondering why birds evolved to fly.,अहं सततं चिन्तयामि यत् खगाः उत्पतितुं किमर्थं विकसिताः भवेयुः?
I don't know what to pick.,किं चयनीयम् इति अहं न जानामि।
I have just about finished picking the berries.,सद्य एव अहं बदरीणां सङ्ग्रहणं पूर्णं कृतवान्।
The climate is hot and very humid.,वातावरणं अतीव उष्णं आर्द्रं च अस्ति।
The scenery of the valley is just amazing.,उपत्यकायाः दृष्यम् अतीवम् अद्भुतम्।
"The boy was no longer sleepy, but full of energy and excitement.","इतः परं बालकः निद्रालुः नास्ति, अपितु ऊर्जया उत्साहेन च पूर्णः अस्ति।"
She covered her head as dirt rained over her.,यदा तस्याः उपरि अवकरः वर्षितः तदा तया तस्याः मस्तकम् आच्छादितम्।
It shouldn't be hard to dig in this sand.,अस्यां वालुकायां खननं कठिनं न भवेत्।
"There it was cool and quiet, with a scent of ripe fruit.",पक्वफलस्य सुगन्धेन सह तत्र शैत्यं शान्तता च आसीत्।
Sunny in the morning but mostly cloudy by the evening.,प्रातःकाले प्रकाशितं परन्तु प्रायः सायङ्काले साभ्रम्।
He went abroad to study higher.,सः उच्चशिक्षार्थं विदेशं गतवान्।
Children were playing in park with a ball.,बालकाः कन्दुकेन उद्याने खेलन्ति स्म।
The bird won't let me nearby.,खगः मां तत्परितः न अनुमन्येत।
I have eaten a piece of fruit.,अहं फलस्य भागं खादितवान्।
Everything was budding and blossoming.,सर्वं विकसितम् अङ्कुरितं च भवति स्म।
I will always be with you.,अहंं सर्वदा भवता सह भविष्यामि।
"The sun had set, and dusk settled over the ocean.","सूर्यः अस्तं गतः, महासागरे च तमः आच्छादितः।"
He is one of the best players.,उत्तमक्रीटापटुषु सः अन्यतमः एकः।
"Sitting, that is the main thing to consider.",उपवेशनम् इति मनुष्यस्य मुख्यः विचारणीयः विषयः।
"The sight, sound, and scent of the ocean helped her relax.","महासागरस्य दृष्यं, ध्वनिः, गन्धः च विश्रान्तिं प्राप्तुं तस्याः सहायतां करोति।"
There are clouds over the hills.,लघुशैलस्य उपरि मेघाः सन्ति।
The sky is over my head.,मम उपरि मेघाः सन्ति।
My house is across the bank.,वित्तकोषात् परे मम गृहम् वर्तते।
"You should expect any weather from scorching hot to cold, wet and windy.","शीतोष्णं, आर्द्रवायुरम् इति किमपि वातावरणं भवता अपेक्षितं भवति।"
I have a pool behind my house.,मम गृहस्य पार्श्वे एकं तडागः अस्ति।
I have done this task for your benefit.,अहं भवतः लाभाय एतत् कार्यं कृतवान्।
We cannot live without water.,वयं जलं विना जीवितं न शक्नुमः।
It's my pleasure to help you.,भवतः सहायतायाम् एव मम आनन्दः।
Playing is his only job.,क्रीडा इति एकमेव तस्य कार्यम्।
We need to walk as far as we can tonight.,अद्य रात्रौ यावत् वयं चलितुं शक्नुमः तावत् अस्माभिः चलनीयम्।
She throws rocks just about every day.,सा प्रतिदिनं पाषाणान् क्षिपति।
If you have the money use it wisely.,भवतः समीपं धनम् अस्ति चेत् सविवेकं तस्य व्ययं करोतु।
Someone is at the door.,कश्चन द्वारे अस्ति।
Let's look at how this happened.,एतत् कथम् अभवत् इति पश्याम।
You better listen up.,भवान् एतत् सम्यक् शृणोतु।
We are sure of success.,सफलतां प्रति वयं निश्चिताः स्मः।
He is quite punctual in following routines.,दिरचर्या-पालने सः समयनिष्ठः अस्ति।
I got your flowers but I forgot what they were for.,अहं भवतः पुष्पाणि प्राप्तवान् परन्तु तानि किमर्थम् इति अहं विस्मृतवान्।
He has been loving that one tree's fruit.,तस्मै तस्य वृक्षस्य फलं रोचते स्म।
This activity should not be attempted in windy conditions.,एषा कार्यचर्या वायुरे वातावरणे न करणीया।
The research I found on the topic was limited.,अस्मिन् विषये मया प्राप्तः शोधः अपर्याप्तः आसीत्।
Where does all the rain water go?,सर्वं वर्षाजलं कुत्र गच्छति?
"Nature was at her peak, blending the wild blooms with various shades of green.",वैविध्यपूर्णैः हरितवर्णैः सह विविधवर्णीयानां वनपुष्पाणां मिश्रणं कुर्वती प्रकृतिः तस्या परमशिखरे आसीत्।
"Water was dripping from the trees, and the grass was wet.","वृक्षेभ्यः जलबिन्दवः पतन्ति स्म, तृणं च आर्द्रम् आसीत्।"
I hear that her mother is in another city.,अहं श्रुतवान् यत् तस्याः माता अन्यस्मिन् नगरे अस्ति।
"If he is available, ask him to call me.",यदि सः उपलब्धः अस्ति तर्हि तं माम् आह्वयितुम् पृच्छ।
"It is not a bad situation, don't worry.","चिन्ता मास्तु, एषा प्रतिकूल-परिस्थितिः नास्ति।"
My teacher is very kind.,मम शिक्षकः अतीव दयालुः अस्ति।
I went shopping in order to buy a new jeans.,अहं नूतनं जीन्स् क्रेतुं गतवान्।
She would take the animals out before he got home tonight.,रात्रौ तस्य गृहगमनात् पूर्वं सा पशून् बहिः कुर्यात्।
My dad never works on the weekends.,मम पिता सप्ताहान्ते कदापि कार्यं न करोति।
She writes an e-mail to her best friend.,सा तस्याः प्रियमित्राय ई-मेल् लिखति।
The sun rises at the east.,सूर्यः पूर्वदिशि उदेति।
George brushes his teeth twice a day.,जॉर्जः तस्य दन्तान् द्विवारं कूर्चकेन घर्षयति।
When does the train usually leave?,प्रायः रेलयानं कदा प्रस्थानं करोति?
My cat runs very fast.,मम मार्जारः अतीव तीव्रगत्या धावति।
He catches the train every morning.,सः प्रतिप्रातःकालं रेलयानं गृह्णाति।
He loves to play basketball.,तस्मै बास्केट्बॉल्-क्रीडा रोचते।
Does he go to river too?,किं सः नदीम् अपि गच्छति?
You'd better go in and get out of those wet clothes.,"एतत् उत्तमं स्यात् यत् भवान् अन्तः गच्छतु, तैः च आर्द्रवस्त्रैः सह बहिः आगच्छतु।"
It usually rains every day here.,अत्र प्रायः प्रतिदिनं वर्षा भवति।
It smells very delicious in the kitchen.,प्राकशालायां बहुरुचिकरः सुगन्धः अस्ति।
They haven't been able to solve the problem yet.,ते अद्यापि समस्यां निराकर्तुं न समर्थाः।
It's about time you spent some money on yourself.,इदानीं समयः आगतः यत् भवान् स्वोपरि किञ्चित् व्ययं कुर्यात्।
You've always taken care of us.,भवान् सर्वदा अस्माकं योगक्षेमम् अवहत्।
There was always plenty of food.,तत्र सर्वदा प्रचुरम् अन्नम् आसीत्।
"Be always brave and truthful, said his father.",सर्वदा शूरः सत्यवादी च भव इति तस्य पिता उक्तवान्।
Tell them to bring me a leaf.,मत्कृते पर्णम् आनयितुं तं वदतु।
Why don't you sit down and rest and I'll bring you a piece of fruit.,"भवान् किमर्थं न उपविशति, विश्रमति च? अहं च भवते फलभागम् आनयामि।"
"We'll meet soon, brother.","भ्रातः, शीघ्रं पुनर्मिलाम।"
Berries are quite delicious.,बदरीफलानि अतीव स्वादूनि सन्ति।
I have to find my lost key.,मया लुप्ता कुञ्चिका शोधनीया।
He put down the book and looked at the rock beneath him.,"सः तस्य पुस्तकं अधः स्थापितवान्, अपि च तदधस्तनं पाषाणं दृष्टवान्।"
I'm glad you like it.,भवते तत् रोचति इति अहम् आनन्दितः।
We have some fruit waiting for us inside.,अस्मान् प्रतीक्षमाणानि कानिचन फलानि अन्तः सन्ति।
She promised she would reserve a room for me.,तया वचनं दत्तं यत् सा मत्कृते प्रकोष्ठम् आरक्षितं करिष्यति इति।
Even the tiny flower petals looked vibrant.,लघूनि पुष्पदलानि अपि जीवितानि दृश्यन्ते स्म।
Could you come by for dinner tonight?,किं भवान् रात्रिभोजनाय आगन्तुं शक्नोति?
She shivered in the chilly ocean breeze.,समुद्रे अतीव शीतले समीरे सा कम्पिता।
I must have the land checked out.,मया भूमेः परीक्षणं करणीयम् एव।
They can be divided into three groups.,तेषां त्रीषु गणेषु विभाजनं शक्यम् अस्ति।
We may have good reason to be proud of ourselves.,अस्मासु एव अभिमानं कर्तुं योग्यं कारणं अस्मत्समीपं भवतु।
It is necessary that he should be sent there at once.,एतत् आवश्यकं यत् सः तत्र एकवारं प्रेषणीयः।
I won't believe it unless I see it with my own eyes.,यावत् अहं मम नेत्राभ्यां न पश्यामि तावत् अहं तस्मिन् न विश्वासं न करोमि।
I wish I had met my uncle yesterday.,कदाचित् ह्यः एव अहं पितृव्यं मिलितः भवेयम्।
I won't phone my friend until they have arrived.,यावत् ते न आगच्छन्ति तावत् अहं मम मित्रं दूरवाणीं न करोमि।
She enjoys cooking food on her own.,तस्यै स्वयमेव पचनं रोचते।
