sentence,hanzi,pinyin
They wanted us to find a purple leaf.,他们想让我们找到一片紫色的叶子。,tā mén xiǎng ràng wǒ mén zhǎo dào yī piàn zǐ sè de yè zǐ 。
When can you plan our next dig?,你什么时候能计划下一次挖掘?,nǐ shén me shí hòu néng jì huá xià yī cì wā jué ?
Please move it to a better time.,请把它挪到更好的时间。,qǐng bǎ tā nuó dào gèng hǎo de shí jiān 。
Is it too late to call your parents?,现在给父母打电话会不会太晚了?,xiàn zài gěi fù mǔ dǎ diàn huà huì bù huì tài wǎn le ?
I didn't plan on doing that ever again!,我再也不打算这么做了!,wǒ zài yě bù dǎ suàn zhè me zuò le !
I wish you could see this like I do.,我希望你能像我一样看到这个。,wǒ xī wàng nǐ néng xiàng wǒ yī yàng kàn dào zhè gè 。
Will you only look for your family?,你会只找你的家人吗?,nǐ huì zhī zhǎo nǐ de jiā rén ma ?
We have seen the star high in the sky.,我们看到那颗星星高高地挂在天上。,wǒ mén kàn dào nà kē xīng xīng gāo gāo dì guà zài tiān shàng 。
We are aboard a boat.,我们在一艘船上。,wǒ mén zài yī sōu chuán shàng 。
She talked about the sun.,她谈到了太阳。,tā tán dào le tài yáng 。
The sky is above the sea.,天空在海面上。,tiān kōng zài hǎi miàn shàng 。
They will be across the water.,他们将越过水面。,tā mén jiāng yuè guò shuǐ miàn 。
He wanted to rest after the long night.,漫长的一夜之后，他想休息一下。,màn cháng de yī yè zhī hòu ， tā xiǎng xiū xī yī xià 。
Are you with them or against them?,你支持他们还是反对他们?,nǐ zhī chí tā mén hái shì fǎn duì tā mén ?
We walked along the trail for an hour.,我们沿着小路走了一个小时。,wǒ mén yán zhe xiǎo lù zǒu le yī gè xiǎo shí 。
There might be animals among us.,我们中间可能有动物。,wǒ mén zhōng jiān kě néng yǒu dòng wù 。
We must go around the forest.,我们必须绕着森林走。,wǒ mén bì xū rào zhe sēn lín zǒu 。
He is as tall as a tree.,他像树一样高。,tā xiàng shù yī yàng gāo 。
Are you at the home right now?,你现在在家吗?,nǐ xiàn zài zài jiā ma ?
Let's eat before we talk.,我们先吃饭再说吧。,wǒ mén xiān chī fàn zài shuō ba 。
I think you should follow behind.,我觉得你应该跟在后面。,wǒ jiào dé nǐ yìng gāi gēn zài hòu miàn 。
The water below me is brown.,我下面的水是棕色的。,wǒ xià miàn de shuǐ shì zōng sè de 。
Swimming in the evening is beneath her.,傍晚游泳对她来说是不合适的。,bàng wǎn you yǒng duì tā lái shuō shì bù hé shì de 。
The fruit is beside the river.,水果在河边。,shuǐ guǒ zài hé biān 。
Nothing is between me and the sky.,我和天空之间什么都没有。,wǒ hé tiān kōng zhī jiān shén me dōu méi yǒu 。
Do you want to see beyond the forest?,你想看看森林的那边吗?,nǐ xiǎng kàn kàn sēn lín de nà biān ma ?
"She is not kind, but I still like her.",她这个人不怎么样，但我还是喜欢她。,tā zhè gè rén bù zěn me yàng ， dàn wǒ hái shì xǐ huān tā 。
Rest with me by the fire.,和我一起在炉火边休息吧。,hé wǒ yī qǐ zài lú huǒ biān xiū xī ba 。
She loves her despite her appearance.,她爱她，不管她的外表如何。,tā ài tā ， bù guǎn tā de wài biǎo rú hé 。
The tree has fallen down!,树倒了！,shù dǎo le !
Did she wake up at the night?,她晚上醒了吗?,tā wǎn shàng xǐng le ma ?
Everyone left except him.,除了他，大家都走了。,chú le tā ， dà jiā dōu zǒu le 。
The stars shine for them.,星星为他们闪耀。,xīng xīng wéi tā mén shǎn yào 。
Is this gift from him or her?,这是他或她送的礼物吗?,zhè shì tā huò tā sòng de lǐ wù ma ?
Have they swum in the river before?,他们以前在这条河里游过泳吗?,tā mén yǐ qián zài zhè tiáo hé lǐ you guò yǒng ma ?
Please go inside in a couple minutes.,请几分钟后进去。,qǐng jǐ fēn zhōng hòu jìn qù 。
They will go into the forest without fear.,他们将毫无畏惧地进入森林。,tā mén jiāng háo wú wèi jù de jìn rù sēn lín 。
She is like a wild animal.,她就像一只野兽。,tā jiù xiàng yī zhī yě shòu 。
Don't let her get near the river.,别让她靠近河。,bié ràng tā kào jìn hé 。
My friend is sitting next to her sibling.,我的朋友坐在她的兄弟姐妹旁边。,wǒ de péng yǒu zuò zài tā de xiōng dì jiě mèi páng biān 。
A lot of the fruit is gone.,很多水果都没了。,hěn duō shuǐ guǒ dōu méi le 。
How should he jump off the tree?,他应该怎样从树上跳下来?,tā yìng gāi zěn yàng cóng shù shàng tiào xià lái ?
They were sitting on the dirt.,他们坐在泥土上。,tā mén zuò zài ní tǔ shàng 。
They have climbed onto the tree.,他们已经爬上了树。,tā mén yǐ jīng pá shàng le shù 。
There will be five animals out in the forest.,森林里将有五只动物。,sēn lín lǐ jiāng yǒu wǔ zhī dòng wù 。
Jump over the yellow dirt.,跳过黄色的泥土。,tiào guò huáng sè de ní tǔ 。
Be careful walking past the animal.,从动物身边走过时要小心。,cóng dòng wù shēn biān zǒu guò shí yào xiǎo xīn 。
There would be two fruits per person.,每人有两种水果。,měi rén yǒu liǎng zhǒng shuǐ guǒ 。
Two plus two is four.,二加二等于四。,èr jiā èr děng yú sì 。
Let's have a chat regarding the child.,我们谈谈关于孩子的事吧。,wǒ mén tán tán guān yú hái zǐ de shì ba 。
We walked 'round the tree.,我们绕着树走。,wǒ mén rào zhe shù zǒu 。
All of us left save for my parent.,除了我父母，我们都离开了。,chú le wǒ fù mǔ ， wǒ mén dōu lí kāi le 。
I won't come since I have no money.,我不会来，因为我没有钱。,wǒ bù huì lái ， yīn wéi wǒ méi yǒu qián 。
Is he older than her?,他比她大吗?,tā bǐ tā dà ma ?
She wants us to go through the forest.,她想让我们穿过森林。,tā xiǎng ràng wǒ mén chuān guò sēn lín 。
We slept till the sunrise.,我们一直睡到日出。,wǒ mén yī zhí shuì dào rì chū 。
Are you going to the river?,你要去河边吗？,nǐ yào qù hé biān ma ?
Look toward the stars for guidance.,仰望星空，寻找指引。,yǎng wàng xīng kōng ， xún zhǎo zhǐ yǐn 。
Why is he under the water?,他为什么在水下?,tā wéi shén me zài shuǐ xià ?
Underneath his appearance is a kind heart.,他外表下是一颗善良的心。,tā wài biǎo xià shì yī kē shàn liáng de xīn 。
"Unlike me, she is very fast.",不像我，她跑得很快。,bù xiàng wǒ ， tā pǎo dé hěn kuài 。
Wait until I am ready.,等我准备好。,děng wǒ zhǔn bèi hǎo 。
The fish swim up to the surface.,鱼游到水面上。,yú you dào shuǐ miàn shàng 。
He sits upon a throne.,他坐在宝座上。,tā zuò zài bǎo zuò shàng 。
Let's talk about swimming versus running.,我们来谈谈游泳和跑步。,wǒ mén lái tán tán you yǒng hé pǎo bù 。
She told them via letter.,她写信告诉他们。,tā xiě xìn gào sù tā mén 。
Why aren't you with me?,你怎么没跟我一起?,nǐ zěn me méi gēn wǒ yī qǐ ?
Fear is not within their heart.,恐惧不在他们心中。,kǒng jù bù zài tā mén xīn zhōng 。
Don't go without us!,不要丢下我们走!,bù yào diū xià wǒ mén zǒu !
Please have another piece of fruit.,请再吃一块水果。,qǐng zài chī yī kuài shuǐ guǒ 。
Do you have any water?,你有水吗?,nǐ yǒu shuǐ ma ?
Anyone can dance.,任何人都可以跳舞。,rèn hé rén dōu kě yǐ tiào wǔ 。
We will do anything for her.,我们愿意为她做任何事。,wǒ mén yuàn yì wéi tā zuò rèn hé shì 。
Let's travel anywhere but here.,除了这里，我们去哪儿都行。,chú le zhè lǐ ， wǒ mén qù nǎ ér dōu háng 。
They want both fruit and water.,他们既要水果又要水。,tā mén jì yào shuǐ guǒ yòu yào shuǐ 。
Are you certain of that?,你能肯定那件事吗?,nǐ néng kěn dìng nà jiàn shì ma ?
He loves each animal equally.,他对每一种动物都一视同仁。,tā duì měi yī zhǒng dòng wù dōu yī shì tóng rén 。
You can have either this or that.,你可以要这个也可以要那个。,nǐ kě yǐ yào zhè gè yě kě yǐ yào nà gè 。
They don't have enough leaves.,他们没有足够的叶子。,tā mén méi yǒu zú gòu de yè zǐ 。
Every child has a favorite color.,每个孩子都有自己最喜欢的颜色。,měi gè hái zǐ dōu yǒu zì jǐ zuì xǐ huān de yán sè 。
Is everyone okay with the plan?,大家都同意这个计划吗?,dà jiā dōu tóng yì zhè gè jì huá ma ?
The sun shone on everything.,阳光普照万物。,yáng guāng pǔ zhào wàn wù 。
"Everywhere I go, I smile.",无论我走到哪里，我都会微笑。,wú lùn wǒ zǒu dào nǎ lǐ ， wǒ dōu huì wēi xiào 。
A few children like swimming.,有几个孩子喜欢游泳。,yǒu jǐ gè hái zǐ xǐ huān you yǒng 。
Where were you last night?,你昨晚在哪里?,nǐ zuó wǎn zài nǎ lǐ ?
It the least intelligent animal.,它是最不聪明的动物。,tā shì zuì bù cōng míng de dòng wù 。
Give me less fruit.,给我少点水果。,gěi wǒ shǎo diǎn shuǐ guǒ 。
They are a little tired.,他们有点累了。,tā mén yǒu diǎn lèi le 。
Many people love the sea.,许多人热爱大海。,xǔ duō rén rè ài dà hǎi 。
She wanted more water.,她想要更多的水。,tā xiǎng yào gèng duō de shuǐ 。
Most forests have lots of trees.,大多数森林有很多树。,dà duō shù sēn lín yǒu hěn duō shù 。
"I don't have much, but it's enough.",我的不多，但也足够了。,wǒ de bù duō ， dàn yě zú gòu le 。
That animal can neither run nor walk.,那动物既不会跑也不会走。,nà dòng wù jì bù huì pǎo yě bù huì zǒu 。
Do you want to sit next to her?,你想坐在她旁边吗?,nǐ xiǎng zuò zài tā páng biān ma ?
"No, they can't eat rocks!",不，它们不能吃石头!,bù ， tā mén bù néng chī shí tóu !
None of them are coming.,他们一个也不会来。,tā mén yī gè yě bù huì lái 。
Nothing can stop me.,没有什么能阻止我。,méi yǒu shén me néng zǔ zhǐ wǒ 。
I have nowhere I need to go.,我无处可去。,wǒ wú chù kě qù 。
I once ate fruit.,我曾经吃过水果。,wǒ céng jīng chī guò shuǐ guǒ 。
Several children can climb.,有几个孩子会爬树。,yǒu jǐ gè hái zǐ huì pá shù 。
Some parents don't know me.,有些父母不认识我。,yǒu xiē fù mǔ bù rèn shí wǒ 。
"Somebody help, please!",谁来帮助，谢谢!,shuí lái bāng zhù ， xiè xiè !
Something is in the water.,水里有东西。,shuǐ lǐ yǒu dōng xī 。
I am somewhere in the forest.,我在森林的某个地方。,wǒ zài sēn lín de mǒu gè dì fāng 。
What is your name?,你叫什么名字?,nǐ jiào shén me míng zì ?
We can make whatever he wants.,我们可以做他想要的任何东西。,wǒ mén kě yǐ zuò tā xiǎng yào de rèn hé dōng xī 。
Which of you is a parent?,你们谁是家长?,nǐ mén shuí shì jiā zhǎng ?
Visit whichever forest is west of here.,参观这里以西的任何一座森林。,cān guān zhè lǐ yǐ xī de rèn hé yī zuò sēn lín 。
"If the fruit is big and low to the ground, you can eat it.",如果果实又大又离地面近，你就可以吃到。,rú guǒ guǒ shí yòu dà yòu lí dì miàn jìn ， nǐ jiù kě yǐ chī dào 。
Just move over here and then you can hear the children.,走到这边来，你就能听到孩子们的声音了。,zǒu dào zhè biān lái ， nǐ jiù néng tīng dào hái zǐ mén de shēng yīn le 。
"One hour ago, your sibling dug up that fruit.",一小时前，你的兄弟挖出了那个水果。,yī xiǎo shí qián ， nǐ de xiōng dì wā chū le nà gè shuǐ guǒ 。
I always call my friend at the last hour of the day.,我总是在一天的最后一个小时打电话给我的朋友。,wǒ zǒng shì zài yī tiān de zuì hòu yī gè xiǎo shí dǎ diàn huà gěi wǒ de péng yǒu 。
When do you think you will get home this time?,你认为这次你什么时候能回家?,nǐ rèn wéi zhè cì nǐ shén me shí hòu néng huí jiā ?
Who wants to wander around at night when it's so dark?,谁愿意在这么黑的夜里四处游荡呢?,shuí yuàn yì zài zhè me hēi de yè lǐ sì chù you dàng ne ?
Soon I will be the last child of my family who is at home.,很快，我将成为家中最后一个在家的孩子。,hěn kuài ， wǒ jiāng chéng wéi jiā zhōng zuì hòu yī gè zài jiā de hái zǐ 。
"It is the middle of the day, so you should stay behind.",现在是中午，所以你应该留下来。,xiàn zài shì zhōng wǔ ， suǒ yǐ nǐ yìng gāi liú xià lái 。
"I would give her it, but she might not think it is a good rock.",我想给她，但她可能认为这不是一块好石头。,wǒ xiǎng gěi tā ， dàn tā kě néng rèn wéi zhè bù shì yī kuài hǎo shí tóu 。
She was so far away that we had to call for her three times.,她离得那么远，我们不得不叫她三次。,tā lí dé nà me yuǎn ， wǒ mén bù dé bù jiào tā sān cì 。
Why did you look behind you like that?,你为什么那样向后看?,nǐ wéi shén me nà yàng xiàng hòu kàn ?
She has such wild energy that it is hard to calm her down.,她精力如此旺盛，所以她很难平静下来。,tā jīng lì rú cǐ wàng shèng ， suǒ yǐ tā hěn nán píng jìng xià lái 。
"Does the color look blue to you, or is it actually white?",你觉得这颜色是蓝色，还是白色?,nǐ jiào dé zhè yán sè shì lán sè ， hái shì bái sè ?
"That would not be the first time, but I hope it is the last.",这不是第一次，但我希望这是最后一次。,zhè bù shì dì yī cì ， dàn wǒ xī wàng zhè shì zuì hòu yī cì 。
She wanted him to find a rock as small as hers.,她想让他找到一块和她一样小的石头。,tā xiǎng ràng tā zhǎo dào yī kuài hé tā yī yàng xiǎo de shí tóu 。
"Maybe if you hadn't found them, they would have moved.",如果你没找到他们，他们可能已经搬走了。,rú guǒ nǐ méi zhǎo dào tā mén ， tā mén kě néng yǐ jīng bān zǒu le 。
You must have heard those children climbing!,你一定听到那些孩子在爬山!,nǐ yī dìng tīng dào nà xiē hái zǐ zài pá shān !
Don't tell me that you didn't look for a black leaf.,别告诉我你没去找黑叶子。,bié gào sù wǒ nǐ méi qù zhǎo hēi yè zǐ 。
Who else could have planned for such a day?,还有谁会为这样的一天做计划？,hái yǒu shuí huì wéi zhè yàng de yī tiān zuò jì huá ？
The first child will be ahead of the second by only a little.,第一个孩子只比第二个孩子快一点点。,dì yī gè hái zǐ zhī bǐ dì èr gè hái zǐ kuài yī diǎn diǎn 。
They jumped here and there without ever finding it.,他们跳来跳去都没找到它。,tā mén tiào lái tiào qù dōu méi zhǎo dào tā 。
"Digging was very hard, hence the low energy.",挖掘是非常困难的，因此（他们）没有精力。,wā jué shì fēi cháng kùn nán de ， yīn cǐ （ tā mén ） méi yǒu jīng lì 。
She would otherwise be an only child.,否则她将是独生女。,fǒu zé tā jiāng shì dú shēng nǚ 。
He would have seen the tree if he had been bigger.,如果他再大一点，他就能看见那棵树了。,rú guǒ tā zài dà yī diǎn ， tā jiù néng kàn jiàn nà kē shù le 。
"Maybe the fruit on the ground is good, but probably not.",地上的水果也许是好的，但也可能不是。,dì shàng de shuǐ guǒ yě xǔ shì hǎo de ， dàn yě kě néng bù shì 。
"I was ahead of you years ago, but not anymore.",几年前我领先你了，但现在不行了。,jǐ nián qián wǒ lǐng xiān nǐ le ， dàn xiàn zài bù háng le 。
I will find one sibling if they will find the other.,如果他们能找到另一个，我也会找到一个。,rú guǒ tā mén néng zhǎo dào lìng yī gè ， wǒ yě huì zhǎo dào yī gè 。
I couldn't call you at such a time!,我不能在这种时候给你打电话!,wǒ bù néng zài zhè zhǒng shí hòu gěi nǐ dǎ diàn huà !
Where did they jump while you were looking at the stars?,当你在看星星的时候，它们跳到哪里去了?,dāng nǐ zài kàn xīng xīng de shí hòu ， tā mén tiào dào nǎ lǐ qù le ?
Don't move the yellow leaves until the year is over.,今年结束前不要移动黄色叶子。,jīn nián jié shù qián bù yào yí dòng huáng sè yè zǐ 。
"We didn't plan to hear it, but we still did.",我们没打算听，但还是听了。,wǒ mén méi dǎ suàn tīng ， dàn hái shì tīng le 。
"When I look at you, I see a good parent.",当我看着你的时候，我看到的是一位好家长。,dāng wǒ kàn zhe nǐ de shí hòu ， wǒ kàn dào de shì yī wèi hǎo jiā zhǎng 。
"At this time of day, no one else is home.",每天的这个时候，家里没有其他人。,měi tiān de zhè gè shí hòu ， jiā lǐ méi yǒu qí tā rén 。
They have heard neither the white star nor the red star.,他们既没有听过白色星星，也没有听过红色星星。,tā mén jì méi yǒu tīng guò bái sè xīng xīng ， yě méi yǒu tīng guò hóng sè xīng xīng 。
How many of those leaves are yellow?,这些叶子中有多少是黄色的?,zhè xiē yè zǐ zhōng yǒu duō shǎo shì huáng sè de ?
"By this time tomorrow, she will have climbed three trees.",到明天这个时候，她已经爬了三棵树了。,dào míng tiān zhè gè shí hòu ， tā yǐ jīng pá le sān kē shù le 。
"She is closer than him to the wild fruit, but he can't see that.",她比他更接近野果，但他看不见。,tā bǐ tā gèng jiē jìn yě guǒ ， dàn tā kàn bù jiàn 。
What was she planning to tell you last night?,她昨晚打算跟你说什么?,tā zuó wǎn dǎ suàn gēn nǐ shuō shén me ?
I wouldn't climb that tree if I were you.,如果我是你，我不会爬那棵树。,rú guǒ wǒ shì nǐ ， wǒ bù huì pá nà kē shù 。
He found it easy to jump over the leaves.,他发现跳过树叶很容易。,tā fā xiàn tiào guò shù yè hěn róng yì 。
At what time do they plan on moving those rocks?,他们打算什么时候搬那些石头?,tā mén dǎ suàn shén me shí hòu bān nà xiē shí tóu ?
I've always wanted to stay in a beach house.,我一直想住在海滨别墅里。,wǒ yī zhí xiǎng zhù zài hǎi bīn bié shù lǐ 。
The desert night was cold and dark.,沙漠的夜晚又冷又黑。,shā mò de yè wǎn yòu lěng yòu hēi 。
Mike must be working in the field today.,迈克今天一定在地里干活。,mài kè jīn tiān yī dìng zài dì lǐ gàn huó 。
How far is the forest from home?,森林离家有多远?,sēn lín lí jiā yǒu duō yuǎn ?
The lake was looking beautiful.,湖看起来很美。,hú kàn qǐ lái hěn měi 。
The sea was rough.,海上风浪很大。,hǎi shàng fēng làng hěn dà 。
Which plants are not green?,哪些植物不是绿色的?,nǎ xiē zhí wù bù shì lǜ sè de ?
There are three small rooms in the house.,房子里有三个小房间。,fáng zǐ lǐ yǒu sān gè xiǎo fáng jiān 。
It was a sunny morning and by eight o'clock it was already hot.,那是一个阳光明媚的早晨，到八点钟，天气已经很热了。,nà shì yī gè yáng guāng míng mèi de zǎo chén ， dào bā diǎn zhōng ， tiān qì yǐ jīng hěn rè le 。
The night was calm and fresh.,夜晚宁静而清新。,yè wǎn níng jìng ér qīng xīn 。
Put on your white dress.,穿上你的白色连衣裙。,chuān shàng nǐ de bái sè lián yī qún 。
"Why did you think I sent you the flower, and that chocolate?",你以为我为什么要送你花和巧克力?,nǐ yǐ wéi wǒ wéi shén me yào sòng nǐ huā hé qiǎo kè lì ?
I can make grass grow!,我能让草生长!,wǒ néng ràng cǎo shēng zhǎng !
She was close to realizing a lifetime goal.,她即将实现她的人生目标。,tā jí jiāng shí xiàn tā de rén shēng mù biāo 。
Trees are truly life savers as they help reduce pollution.,树木是真正的救生员，因为它们有助于减少污染。,shù mù shì zhēn zhèng de jiù shēng yuán ， yīn wéi tā mén yǒu zhù yú jiǎn shǎo wū rǎn 。
"The climate on the coast is hot, humid, and unhealthy.",沿海地区的气候炎热、潮湿、不健康。,yán hǎi dì qū de qì hòu yán rè 、 cháo shī 、 bù jiàn kāng 。
Leafs are turning yellow due to dry weather.,由于天气干燥，树叶正在变黄。,yóu yú tiān qì gàn zào ， shù yè zhèng zài biàn huáng 。
The summer had been very dry and no berries grew.,夏天非常干燥，没有浆果生长。,xià tiān fēi cháng gàn zào ， méi yǒu jiāng guǒ shēng zhǎng 。
The rocks are not too high to climb.,岩石不太高，能爬上去。,yán shí bù tài gāo ， néng pá shàng qù 。
Fruits are beneficial for health as they provide energy to work.,水果有益健康，因为它们提供工作的能量。,shuǐ guǒ yǒu yì jiàn kāng ， yīn wéi tā mén tí gòng gōng zuò de néng liàng 。
His shoes were covered with mud when he entered the house.,他进屋时，鞋上沾满了泥。,tā jìn wū shí ， xié shàng zhān mǎn le ní 。
Indoor plants makes the house look attractive and pleasing.,室内植物使房子看起来漂亮宜人。,shì nèi zhí wù shǐ fáng zǐ kàn qǐ lái piāo liàng yí rén 。
How bright a star can be? Have you ever thought about this?,一颗星星能有多亮?你有没有想过这个问题?,yī kē xīng xīng néng yǒu duō liàng ? nǐ yǒu méi yǒu xiǎng guò zhè gè wèn tí ?
I wonder how the tree got so tall.,我想知道这棵树是怎么长得这么高的。,wǒ xiǎng zhī dào zhè kē shù shì zěn me zhǎng dé zhè me gāo de 。
They have yet to see the big beautiful white rock.,他们还没有看到那块又大又漂亮的白色岩石。,tā mén hái méi yǒu kàn dào nà kuài yòu dà yòu piāo liàng de bái sè yán shí 。
I keep wondering why birds evolved to fly.,我一直想知道为什么鸟类进化成会飞的。,wǒ yī zhí xiǎng zhī dào wéi shén me niǎo lèi jìn huà chéng huì fēi de 。
I don't know what to pick.,我不知道该选什么。,wǒ bù zhī dào gāi xuǎn shén me 。
I have just about finished picking the berries.,我差不多摘完了浆果。,wǒ chà bù duō zhāi wán le jiāng guǒ 。
The climate is hot and very humid.,气候又热又潮湿。,qì hòu yòu rè yòu cháo shī 。
The scenery of the valley is just amazing.,山谷的景色真是令人惊叹。,shān gǔ de jǐng sè zhēn shì lìng rén jīng tàn 。
"The boy was no longer sleepy, but full of energy and excitemént.",那男孩不再困倦，而是充满了活力和兴奋。,nà nán hái bù zài kùn juàn ， ér shì chōng mǎn le huó lì hé xìng fèn 。
She covered her head as dirt rained over her.,泥土如雨点般落在她身上，她捂着头。,ní tǔ rú yǔ diǎn bān luò zài tā shēn shàng ， tā wǔ zhe tóu 。
It shouldn't be hard to dig in this sand.,在这样的沙地里挖土应该不难。,zài zhè yàng de shā dì lǐ wā tǔ yìng gāi bù nán 。
"There it was cool and quiet, with a scent of ripe fruit.",那里凉爽而宁静，散发着成熟水果的香味。,nà lǐ liáng shuǎng ér níng jìng ， sàn fā zhe chéng shú shuǐ guǒ de xiāng wèi 。
Sunny in the morning but mostly cloudy by the evening.,早上有阳光，但晚上大部分时间多云。,zǎo shàng yǒu yáng guāng ， dàn wǎn shàng dà bù fēn shí jiān duō yún 。
He went abroad to study higher.,他出国深造去了。,tā chū guó shēn zào qù le 。
Children were playing in park with a ball.,孩子们在公园里玩球。,hái zǐ mén zài gōng yuán lǐ wán qiú 。
The bird won't let me nearby.,这只鸟不让我靠近。,zhè zhī niǎo bù ràng wǒ kào jìn 。
I have eaten a piece of fruit.,我吃了一块水果。,wǒ chī le yī kuài shuǐ guǒ 。
Everything was budding and blossoming.,万物都在含苞待放。,wàn wù dōu zài hán bāo dài fàng 。
I will always be with you.,我会永远和你在一起。,wǒ huì yǒng yuǎn hé nǐ zài yī qǐ 。
"The sun had set, and dusk settled over the ocean.",太阳已经落山，暮色笼罩着海面。,tài yáng yǐ jīng luò shān ， mù sè lóng zhào zhe hǎi miàn 。
He is one of the best players.,他是最好的球员之一。,tā shì zuì hǎo de qiú yuán zhī yī 。
