"english","spanish"
"We must go around the forest.","Debemos ir alrededor del bosque."
"He is as tall as a tree.","Es tan alto como un árbol."
"Are you at the home right now?","¿Estás en casa ahora mismo?"
"Let's eat before we talk.","Comamos antes de hablar."
"I think you should follow behind.","Creo que deberías seguir detrás."
"The water below me is brown.","El agua debajo de mí es marrón."
"Swimming in the evening is beneath her.","Nadar por la noche está por debajo de ella."
"The fruit is beside the river.","La fruta está al lado del río."
"Nothing is between me and the sky.","Nada se interpone entre el cielo y yo."
"Do you want to see beyond the forest?","¿Quieres ver más allá del bosque?"
"She is not kind, but I still like her.","Ella no es amable, pero todavía me agrada."
"Rest with me by the fire.",Descansa conmigo junto al fuego.
"She loves her despite her appearance.","Ella la ama a pesar de su apariencia."
"The tree has fallen down!","¡El árbol cayó!"
"Did she wake up at the night?","¿Ella se despertó por la noche?"
"Everyone left except him.","Todos se fueron excepto él."
"The stars shine for them.","Las estrellas brillan para ellos."
"Is this gift from him or her?","¿Es este un regalo de él o de ella?"
"Have they swum in the river before?","¿Han nadado antes en el río?"
"Please go inside in a couple minutes.","Por favor, entra en un par de minutos."
"They will go into the forest without fear.","Entraran al bosque sin miedo."
"She is like a wild animal.","Ella es como un animal salvaje."
"Don't let her get near the river.",No dejes que se acerque al río.
"My friend is sitting next to her sibling.","Mi amiga está sentada junto a su hermano."
"A lot of the fruit is gone.","Mucha de la fruta a desaparecido."
"How should he jump off the tree?","¿Cómo debería saltar del árbol?"
"They were sitting on the dirt.","Estaban sentados en el suelo."
"They have climbed onto the tree.","Se han subido al árbol."
"There will be five animals out in the forest.","Habrá cinco animales en el bosque."
"Jump over the yellow dirt.","Salta sobre la tierra amarilla."
"Be careful walking past the animal.","Ten cuidado al pasar junto al animal."
"There would be two fruits per person.","Habría dos frutas por persona."
"Two plus two is four.","Dos más dos son cuatro."
"Let's have a chat regarding the child.","Tengamos una charla acerca del niño."
"We walked 'round the tree.","Caminamos alrededor del árbol."
"All of us left save for my parent.","Todos nos fuimos excepto mi padre."
"I won't come since I have no money.","No voy a venir porque no tengo dinero."
"Is he older than her?","¿El es mayor que ella?"
"She wants us to go through the forest.","Quiere que vayamos por el bosque."
"We slept till the sunrise.","Dormimos hasta el amanecer."
"Are you going to the river?","¿Vas al río?"
"Look toward the stars for guidance.","Mire hacia las estrellas para que te guíen."
"Why is he under the water?","¿Por qué está bajo el agua?"
"Underneath his appearance is a kind heart.","Debajo de su apariencia hay un corazón bondadoso."
"Unlike me, she is very fast.","A diferencia de mí, ella es muy rápida."
"Wait until I am ready.","Espera hasta que esté listo."
"The fish swim up to the surface.","Los peces nadan hasta la superficie."
"He sits upon a throne.","El está sentado en un trono."
"Let's talk about swimming versus running.","Hablemos de nadar comparado a correr."
"She told them via letter.","Ella les dijo por carta."
"Why aren't you with me?","¿Por qué no estás conmigo?"
"Fear is not within their heart.","El miedo no está dentro de su corazón."
"Don't go without us!","¡No te vayas sin nosotros!"
"Please have another piece of fruit.","Por favor, come otra fruta."
"Do you have any water?","¿Tienes agua?"
"Anyone can dance.","Todos pueden bailar."
"We will do anything for her.","Haremos cualquier cosa por ella."
"Let's travel anywhere but here.","Viajemos a cualquier parte menos aquí."
"They want both fruit and water.","Quieren fruta y agua."
"Are you certain of that?","¿Estás seguro de eso?"
"He loves each animal equally.","Él ama a todos los animales por igual."
"You can have either this or that.","Puedes tener esto o aquello."
"They don't have enough leaves.","No tienen suficientes hojas."
"Every child has a favorite color.","Cada niño tiene un color favorito."
"Is everyone okay with the plan?","¿Están todos de acuerdo con el plan?"
"The sun shone on everything.","El sol brillaba sobre todo."
"Everywhere I go, I smile.","Dondequiera que voy, sonrío."
"A few children like swimming.","A algunos niños les gusta nadar."
"Where were you last night?","¿Dónde estabas anoche?"
"It the least intelligent animal.","Es el animal menos inteligente."
"Give me less fruit.","Dame menos fruta."
"They are a little tired.","Están un poco cansados."
"Many people love the sea.","Mucha gente ama el mar."
"She wanted more water.","Ella quería más agua."
"Most forests have lots of trees.","La mayoría de los bosques tienen muchos árboles."
"I don't have much, but it's enough.","No tengo mucho, pero es suficiente."
"That animal can neither run nor walk.","Ese animal no puede correr ni caminar."
"Do you want to sit next to her?","¿Quieres sentarte a su lado?"
"No, they can't eat rocks!","¡No, no pueden comer piedras!"
"None of them are coming.","Ninguno de ellos vendrá."
"Nothing can stop me.","Nada puede detenerme."
"I have nowhere I need to go.","No tengo ningún lugar a donde deba ir."
"I once ate fruit.","Una vez comí fruta."
"Several children can climb.","Muchos niños pueden trepar."
"Some parents don't know me.","Algunos padres no me conocen."
"Somebody help, please!","¡Que alguien me ayude, por favor!"
"Something is in the water.","Hay algo en el agua."
"I am somewhere in the forest.","Estoy en algún lugar en el bosque."
"What is your name?","¿Cuál es tu nombre?"
"We can make whatever he wants.","Podemos hacer lo que quiera."
"Which of you is a parent?","¿Quién de ustedes es un padre?"
"Visit whichever forest is west of here.","Visita cualquier bosque que esté al oeste de aquí."
"If the fruit is big and low to the ground, you can eat it.","Si la fruta es grande y baja al suelo, puedes comerla."
"Just move over here and then you can hear the children.","Simplemente muévete aquí y entonces podrás escuchar a los niños."
"One hour ago, your sibling dug up that fruit.","Hace una hora, tu hermano desenterró esa fruta."
"I always call my friend at the last hour of the day.","Siempre llamo a mi amigo a última hora del día."
"When do you think you will get home this time?","¿Cuándo crees que llegarás a casa esta vez?"
"Who wants to wander around at night when it's so dark?","¿Quién quiere pasear por la noche cuando está tan oscuro?"
"Soon I will be the last child of my family who is at home.","Pronto seré el último hijo de mi familia que esté en casa."
"It is the middle of the day, so you should stay behind.","Es mediodía, así que debes quedarte."
"I would give her it, but she might not think it is a good rock.","Se lo daría, pero puede que no piense que es una buena roca."
"She was so far away that we had to call for her three times.","Estaba tan lejos que tuvimos que llamarla tres veces."
"Why did you look behind you like that?","¿Por qué miraste así hacia atrás deesa manera?"
"She has such wild energy that it is hard to calm her down.","Tiene una energía tan salvaje que es difícil calmarla."
"Does the color look blue to you, or is it actually white?","¿El color te parece azul o es en realidad blanco?"
"That would not be the first time, but I hope it is the last.","Esa no sería la primera vez, pero espero que sea la última."
"She wanted him to find a rock as small as hers.","Ella quería que él encontrara una piedra tan pequeña como la de ella."
"Maybe if you hadn't found them, they would have moved.","Quizás si no los hubieras encontrado, se habrían movido."
"You must have heard those children climbing!","¡Debes de haber escuchado a esos niños trepando!"
"Don't tell me that you didn't look for a black leaf.","No me digas que no buscaste una hoja negra."
"Who else could have planned for such a day?","¿Quién más podría haber planeado un día así?"
"The first child will be ahead of the second by only a little.","El primer hijo estará un poco por delante del segundo."
"They jumped here and there without ever finding it.","Saltaron de aquí a allá y no lo encontraron nunca."
"Digging was very hard, hence the low energy.","Cavar era muy difícil, por eso la poca energía."
"She would otherwise be an only child.","De lo contrario, sería hija única."
"He would have seen the tree if he had been bigger.","Habría visto el árbol si hubiera sido más grande."
"Maybe the fruit on the ground is good, but probably not.","Quizás la fruta del suelo sea buena, pero probablemente no lo sea."
"I was ahead of you years ago, but not anymore.","Yo estaba por delante de ti hace años, pero ya no."
"I will find one sibling if they will find the other.","Encontraré a un hermano si ellos encuentran al otro."
"I couldn't call you at such a time!","¡No podía llamarte en ese momento!"
"Where did they jump while you were looking at the stars?","¿Dónde saltaron mientras mirabas las estrellas?"
"Don't move the yellow leaves until the year is over.","No muevas las hojas amarillas hasta que termine el año."
"We didn't plan to hear it, but we still did.","No planeamos escucharlo, pero aún así lo hicimos."
"When I look at you, I see a good parent.","Cuando te miro, veo a un buen padre."
"At this time of day, no one else is home.","A esta hora del día, nadie más está en casa."
"They have heard neither the white star nor the red star.","No han escuchado ni la estrella blanca ni a la estrella roja."
"How many of those leaves are yellow?","¿Cuántas de esas hojas son amarillas?"
"By this time tomorrow, she will have climbed three trees.","Mañana a esta hora, ella habrá trepado a tres árboles."
"She is closer than him to the wild fruit, but he can't see that.","Ella está más cerca que él de la fruta silvestre, pero él no puede ver eso."
"What was she planning to tell you last night?","¿Qué estaba planeando decirte anoche?"
"I wouldn't climb that tree if I were you.","No me subiría a ese árbol si fuera tú."
"He found it easy to jump over the leaves.","Le resultó fácil saltar por encima de las hojas."
"At what time do they plan on moving those rocks?","¿A qué hora planean mover esas rocas?"
"I've always wanted to stay in a beach house.","Siempre he querido quedarme en una casa en la playa."
"The desert night was cold and dark.","La noche del desierto era fría y oscura."
"Mike must be working in the field today.","Mike debe estar trabajando en el campo hoy."
"How far is the forest from home?","¿Qué tan lejos está el bosque de casa?"
"The lake was looking beautiful.","El lago se veía hermoso."
"The sea was rough.","El mar estaba embravecido."
"Which plants are not green?","¿Qué plantas no son verdes?"
"There are three small rooms in the house.","En la casa hay tres pequeñas habitaciones."
"It was a sunny morning and by eight o'clock it was already hot.","Era una mañana soleada y a las ocho en punto ya hacía calor."
"The night was calm and fresh.","La noche estaba tranquila y fresca."
"Put on your white dress.",Ponte tu vestido blanco.
"Why did you think I sent you the flower, and that chocolate?","¿Por qué pensaste que te envié la flor y ese chocolate?"
"I can make grass grow!","¡Puedo hacer crecer la hierba!"
"She was close to realizing a lifetime goal.","Estuvo cerca de alcanzar un objetivo de su vida."
"Trees are truly life savers as they help reduce pollution.","Los árboles son verdaderamente salvadores ya que ayudan a reducir la contaminación."
"The climate on the coast is hot, humid, and unhealthy.","El clima en la costa es cálido, húmedo e insalubre."
"Leafs are turning yellow due to dry weather.","Las hojas se están poniendo amarillas debido al clima seco."
"The summer had been very dry and no berries grew.","El verano había sido muy seco y no crecieron bayas."
"The rocks are not too high to climb.","Las rocas no son muy altas como para escalar."
"Fruits are beneficial for health as they provide energy to work.","Las frutas son beneficiosas para la salud, ya que proporcionan energía para trabajar."
"His shoes were covered with mud when he entered the house.","Sus zapatos estaban cubiertos de barro cuando entró a la casa."
"Indoor plants makes the house look attractive and pleasing.","Las plantas de interior hacen que la casa luzca atractiva y agradable."
"How bright a star can be? Have you ever thought about this?","¿Qué tan brillante puede ser una estrella? ¿Alguna vez ha pensado en esto?"
"I wonder how the tree got so tall.","Me pregunto cómo llegó a ser tan alto el árbol."
"They have yet to see the big beautiful white rock.","Todavía tienen que ver la gran y hermosa roca blanca."
"I keep wondering why birds evolved to fly.","Me sigo preguntando por qué las aves evolucionaron para volar."
"I don't know what to pick.","No sé qué elegir."
"I have just about finished picking the berries.","Acabo de terminar de recoger las bayas."
"The climate is hot and very humid.","El clima es cálido y muy húmedo."
"The scenery of the valley is just amazing.","El paisaje del valle es simplemente asombroso."
"The boy was no longer sleepy, but full of energy and excitement.","El niño ya no tenía sueño, sino que estaba lleno de energía y emoción."
"She covered her head as dirt rained over her.","Se cubrió la cabeza mientras la tierra llovía sobre ella."
"It shouldn't be hard to dig in this sand.","No debería ser difícil cavar en esta arena."
"There it was cool and quiet, with a scent of ripe fruit.","Allí estaba fresco y tranquilo, con un aroma a fruta madura."
"Sunny in the morning but mostly cloudy by the evening.","Soleado por la mañana pero mayormente nublado por la tarde."
"He went abroad to study higher.","Se fue al extranjero para estudiar más alto."
"Children were playing in park with a ball.","Los niños jugaban en el parque con una pelota."
"The bird won't let me nearby.","El pájaro no me deja cerca."
"I have eaten a piece of fruit.","He comido una pieza de fruta."
"Everything was budding and blossoming.","Todo estaba brotando y floreciendo."
"I will always be with you.","Siempre estaré contigo."
"The sun had set, and dusk settled over the ocean.","El sol se había puesto y el crepúsculo se posó sobre el océano."
"He is one of the best players.","Es uno de los mejores jugadores."
"Sitting, that is the main thing to consider.","Sentarse, eso es lo principal a considerar."
"The sight, sound, and scent of the ocean helped her relax.","La vista, el sonido y el olor del océano la ayudaron a relajarse."
"There are clouds over the hills.","Hay nubes sobre las colinas."
"The sky is over my head.","El cielo está sobre mi cabeza."
"My house is across the bank.","Mi casa está al otro lado del banco."
"You should expect any weather from scorching hot to cold, wet and windy.","Debe esperar cualquier clima, desde un calor abrasador a frío, húmedo y ventoso."
"I have a pool behind my house.","Tengo una piscina detrás de mi casa."
"I have done this task for your benefit.","He hecho esta tarea para su beneficio."
"We cannot live without water.","No podemos vivir sin agua."
"It's my pleasure to help you.","Es un placer ayudarte."
"Playing is his only job.","Jugar es su único trabajo."
"We need to walk as far as we can tonight.","Tenemos que caminar lo más lejos que podamos esta noche."
"She throws rocks just about every day.","Ella lanza piedras casi todos los días."
"If you have the money use it wisely.","Si tienes el dinero, úsalo sabiamente."
"Someone is at the door.","Alguien esta en la puerta."
"Let's look at how this happened.","Veamos cómo sucedió esto."
"You better listen up.","Será mejor que escuches."
"We are sure of success.","Estamos seguros del éxito."
"He is quite punctual in following routines.","Es bastante puntual en el seguimiento de las rutinas."
"I got your flowers but I forgot what they were for.","Recibí tus flores, pero olvidé para qué eran."
"He has been loving that one tree's fruit.","Le ha encantado el fruto de ese árbol."
"This activity should not be attempted in windy conditions.","Esta actividad no debe intentarse en condiciones de viento."
"The research I found on the topic was limited.","La investigación que encontré sobre el tema fue limitada."
"Where does all the rain water go?","¿A dónde va toda el agua de lluvia?"
"Nature was at her peak, blending the wild blooms with various shades of green.","La naturaleza estaba en su apogeo, mezclando las flores silvestres con varios tonos de verde."
"Water was dripping from the trees, and the grass was wet.","El agua goteaba de los árboles y la hierba estaba mojada."
"I hear that her mother is in another city.","Escuché que su madre está en otra ciudad."
"If he is available, ask him to call me.","Si está disponible, pídale que me llame."
"It is not a bad situation, don't worry.","No es una mala situación, no te preocupes."
"My teacher is very kind.","Mi maestra es muy amable."
"I went shopping in order to buy a new jeans.","Fui de compras para comprar unos jeans nuevos."
"She would take the animals out before he got home tonight.","Ella sacaría a los animales antes de que él llegara a casa esta noche."
"My dad never works on the weekends.","Mi papá nunca trabaja los fines de semana."
"She writes an e-mail to her best friend.","Ella escribe un correo electrónico a su mejor amiga."
"The sun rises at the east.","El sol sale por el este."
"George brushes his teeth twice a day.","George se cepilla los dientes dos veces al día."
"When does the train usually leave?","¿Cuándo suele salir el tren?"
"My cat runs very fast.","Mi gato corre muy rápido."
"He catches the train every morning.","Toma el tren todas las mañanas."
"He loves to play basketball.","Le encanta jugar baloncesto."
"Does he go to river too?","¿Él también va al río?"
"You'd better go in and get out of those wet clothes.","Será mejor que entres y te quites esa ropa mojada."
"It usually rains every day here.","Por lo general, aquí llueve todos los días."
"It smells very delicious in the kitchen.","Huele muy rico en la cocina."
"They haven't been able to solve the problem yet.","Todavía no han podido resolver el problema."
"It's about time you spent some money on yourself.","Ya es hora de que gastes algo de dinero en ti mismo."
"You've always taken care of us.","Siempre nos has cuidado."
"There was always plenty of food.","Siempre había mucha comida."
"Be always brave and truthful, said his father.","Sé siempre valiente y veraz, dijo su padre."
"Tell them to bring me a leaf.",Diles que me traigan una hoja.
"Why don't you sit down and rest and I'll bring you a piece of fruit.","¿Por qué no te sientas y descansas y te traigo una pieza de fruta?"
"We'll meet soon, brother.","Nos veremos pronto, hermano."
"Berries are quite delicious.","Las bayas son bastante deliciosas."
"I have to find my lost key.","Tengo que encontrar mi llave perdida."
"He put down the book and looked at the rock beneath him.","Dejó el libro y miró la roca debajo de él."
"I'm glad you like it.","Me alegro de que te guste."
"We have some fruit waiting for us inside.","Tenemos algo de fruta esperándonos adentro."
"She promised she would reserve a room for me.","Me prometió que me reservaría una habitación."
"Even the tiny flower petals looked vibrant.","Incluso los diminutos pétalos de las flores se veían vibrantes."
"Could you come by for dinner tonight?","¿Podrías venir a cenar esta noche?"
"She shivered in the chilly ocean breeze.","Se estremeció con la fría brisa del océano."
"I must have the land checked out.","Debo hacer que revisen la tierra."
"They can be divided into three groups.","Se pueden dividir en tres grupos."
"We may have good reason to be proud of ourselves.","Puede que tengamos buenas razones para estar orgullosos de nosotros mismos."
"It is necessary that he should be sent there at once.","Es necesario que lo envíen allí de inmediato."
"I won't believe it unless I see it with my own eyes.","No lo creeré a menos que lo vea con mis propios ojos."
"I wish I had met my uncle yesterday.","Ojalá hubiera conocido a mi tío ayer."
"I won't phone my friend until they have arrived.","No llamaré a mi amigo hasta que haya llegado."
"She enjoys cooking food on her own.","A ella le gusta cocinar sola."
"It felt so good to be home.","Se sintió tan bien estar en casa."
"Everything was in good order except the boots.","Todo estaba en buen estado excepto las botas."
"If you go there, you will find him.","Si vas allí, lo encontrarás."
"A little girl said she heard about the cold breeze from around the way.","Una niña dijo que se enteró de la brisa fría que venía del camino."
"Today, I see some ripe fruit on that tree.","Hoy, veo un poco de fruta madura en ese árbol."
"They usually spent the morning hours in the forest.","Por lo general, pasaban las horas de la mañana en el bosque."
"Who is your best friend?","¿Quién es tu mejor amigo?"
"She ate her fruit, took a walk, and then went back to sleep.","Ella comió su fruta, dio un paseo y luego se volvió a dormir."
"He loves to read, and he also loves to hike.","Le encanta leer y también le encanta caminar."
"What is the true meaning of the poem?","¿Cuál es el verdadero significado del poema?"
"You are showing both sides of an argument.","Estás mostrando ambos lados de una discusión."
"You are describing a sequence of events.","Estás describiendo una secuencia de eventos."
"I do not know a way to get to the moon.","No conozco la forma de llegar a la luna."
"The warm sun shined on the trees and drew out all their fragrance.","El cálido sol brillaba sobre los árboles y exhalaba toda su fragancia."
"I enjoyed the stone that you brought for me.","Disfruté de la piedra que me trajiste."
"The girl ran into the forest.","La niña corrió hacia el bosque."
"He walked down the path.","Caminó por el camino."
"She laughed at the rabbit's activities.","Ella se rió de las actividades del conejo."
"Uncover the hole carefully.","Destape el agujero con cuidado."
"I love the ocean because fish are so interesting to watch.","Me encanta el océano porque los peces son muy interesantes de ver."
"I drink juice every morning.","Bebo jugo todas las mañanas."
"There's one piece left like yesterday.","Queda una pieza como ayer."
"We waited for the train, but the train was late.","Esperamos el tren, pero el tren llegó tarde."
"The weather was wonderful with its bright sunshine.","El clima era maravilloso con su brillante sol."
"Many trees lost their leaves last winter.","Muchos árboles perdieron sus hojas el invierno pasado."
"The blue sky was cloudless.","El cielo azul estaba despejado."
"We walked through to the other side.","Caminamos hasta el otro lado."
"Does it snow when it is sunny?","¿Nieva cuando hace sol?"
"Winter is over and spring has come.","El invierno ha terminado y ha llegado la primavera."
"The sky is full of stars.","El cielo está lleno de estrellas."
"Where do you want to go on a hike this weekend?","¿A dónde quieres ir de excursión este fin de semana?"
"The moon goes around the earth.","La luna da la vuelta a la tierra."
"It was raining yesterday.","Estaba lloviendo ayer."
"The clouds are getting darker.","Las nubes se están volviendo más oscuras."
"I saw a child standing near the waterfall.","Vi a un niño parado cerca de la cascada."
"That one near the lake is chipping the rock.","El que está cerca del lago está picando la roca."
"She buried her feet in the sand to keep them warm.","Enterró sus pies en la arena para mantenerlos calientes."
"We have lovely trees around here.","Tenemos hermosos árboles por aquí."
"There was no tree for shade in the forest, they all let the light through.","No había árbol para dar sombra en el bosque, todos dejaban pasar la luz."
"The land is covered with green grass.","La tierra está cubierta de hierba verde."
"Do these bugs fly?","¿Vuelan estos bichos?"
"He dropped the leaf into the fire.","Tiró la hoja al fuego."
"The birds drink from the still pool of water.","Los pájaros beben del estanque de agua quieta."
"They jump into the river.","Saltan al río."
"Birds are making their houses in the tree.","Los pájaros están construyendo sus casas en el árbol."
"Be careful of that broken branch.","Ten cuidado con esa rama rota."
"My friend works in the field.","Mi amigo trabaja en el campo."
"We are riding into the forest today.","Estamos cabalgando hacia el bosque hoy."
"She ran harder up the hill.","Corrió más fuerte colina arriba."
"This area has an abundant rainfall, dense forests, and fertile soil.","Esta zona tiene abundantes lluvias, densos bosques y suelo fértil."
"The first tree was near the lake.","El primer árbol estaba cerca del lago."
"There is beautiful land lying on both sides of the wonderful river.","Hay una hermosa tierra a ambos lados del maravilloso río."
"What is the highest mountain?","¿Cuál es la montaña más alta?"
"The countryside is made with beautiful hills.","El campo está hecho con hermosas colinas."
"They will go up to the snowy region.","Subirán a la región nevada."
"The rock was heavy and sharp.","La roca era pesada y afilada."
"You threw the rock over the river?","¿Tiraste la piedra al río?"
"Even in the dense underbrush, it had found another rock.","Incluso en la densa maleza, había encontrado otra roca."
"The summer is the best time to prune raspberry bushes.","El verano es la mejor época para podar frambuesas."
"You are staying the whole evening, I hope?","¿Te quedarás toda la noche, espero?"
"I study about the earth, and the animals.","Estudio sobre la tierra y los animales."
"It isn't cold out there, is it?","No hace frío ahí fuera, ¿verdad?"
"She ran and ran and ran, until the night came to a close.","Ella corrió y corrió y corrió, hasta que la noche llegó a su fin."
"When she woke again, the sun was shining on her face.","Cuando se despertó de nuevo, el sol le brillaba en la cara."
"Will you give me a cup of tea?","¿Me das una taza de té?"
"Will you try it and see if it makes a difference if wouldn't mind?","¿Lo intentarás y verás si hace una diferencia si no te importaría?"
"Would you like to go on an outdoor adventure?","¿Te gustaría ir a una aventura al aire libre?"
"He watched as the wolf disappeared into the tall grass.","Vio como el lobo desaparecía entre la hierba alta."
"I know you must be tired, so I will let you rest.","Sé que debes estar cansado, así que te dejaré descansar."
"The dry weather was perfect for building.","El clima seco fue perfecto para la construcción."
"Those few pieces of fat pine were a great treasure.","Esos pocos trozos de pino gordo eran un gran tesoro."
"The table and chairs were made of a dark rich wood.","La mesa y las sillas estaban hechas de una rica madera oscura."
"She breathed in the ocean air.","Ella respiró el aire del océano."
"We bought a lily and set it in a sunny window.","Compramos un lirio y lo pusimos en una ventana soleada."
"We can't keep falling forever, you know.","No podemos seguir cayendo para siempre, sabes."
"After two years' growth the bushes should be quite tall.","Después de dos años de crecimiento, los arbustos deberían ser bastante altos."
"She glanced around the lush hills.","Ella miró alrededor de las exuberantes colinas."
"All of the islands have beautiful beaches and lush scenery.","Todas las islas tienen hermosas playas y paisajes exuberantes."
"The place is absolutely crammed with plants, a lush green oasis.","El lugar está absolutamente repleto de plantas, un exuberante oasis verde."
"It is a very vibrant and proud community.","Es una comunidad muy vibrante y orgullosa."
"The dawn brought cool air and dense fog.","El amanecer trajo aire fresco y una densa niebla."
"The air was dry and hot, as if she were in a sauna.","El aire estaba seco y caliente, como si estuviera en una sauna."
"Cherry blossoms are in bloom for a short period.","Las flores de cerezo florecen por un período corto."
"Scorpions are numerous in the arid regions.","Los escorpiones son numerosos en las regiones áridas."
"The day was sunny and mild, a perfect day for riding.","El día fue soleado y templado, un día perfecto para montar."
"The majestic river dashes its way towards the valley.","El majestuoso río corre hacia el valle."
"The blossom is fragrant.","La flor es fragante."
"The apple trees are looking beautiful.","Los manzanos se ven hermosos."
"The birds are chirping in the trees.","Los pájaros cantan en los árboles."
"The cool breeze is chilling my spine.","La brisa fresca me está enfriando la columna vertebral."
"The tides are rushing towards the land.","Las mareas se precipitan hacia la tierra."
"A calm river is flowing from the mountains.","Un río tranquilo fluye de las montañas."
"The pond has many flowers.","El estanque tiene muchas flores."
"Birds are flying around fearlessly.","Los pájaros vuelan sin miedo."
"The frogs are trilling in the pond.","Las ranas están trinando en el estanque."
"The tree has long branches.","El árbol tiene ramas largas."
"Fresh fruit, please.","Fruta fresca, por favor."
"The sky is so amazingly beautiful today.","El cielo es increíblemente hermoso hoy."
"Deer are grazing in the fields.","Los ciervos están pastando en los campos."
"The wolf is chasing the deer.","El lobo está persiguiendo al ciervo."
"This river contains many species of fish.","Este río contiene muchas especies de peces."
"A pack of wolves is howling in the forest.","Una manada de lobos está aullando en el bosque."
"The clouds caused a sudden blizzard.","Las nubes provocaron una ventisca repentina."
"Let us fly a kite in the bright sunshine.","Vamos a volar una cometa bajo el sol brillante."
"The bugs are making weird noises.","Los insectos están haciendo ruidos extraños."
"The mighty river is flowing along the slopes of the mountains.","El caudaloso río fluye a lo largo de las laderas de las montañas."
"We are approaching a valley.","Nos acercamos a un valle."
"The great wind hit the valley.","El gran viento golpeó el valle."
"Look at the colorful butterflies!","¡Mira las coloridas mariposas!"
"The birds are cool looking.","Los pájaros son geniales."
"The rabbits are hopping joyously.","Los conejos están saltando alegremente."
"The talkative bird is curious.","El pájaro hablador es curioso."
"The coyote is witty.","El coyote es ingenioso."
"The mice are squeaking happily.","Los ratones chillan alegremente."
"Snow is dripping from the leaves.","La nieve está goteando de las hojas."
"Birds are drinking water from the unusually still river.","Los pájaros beben agua del río inusualmente tranquilo."
"Rabbits hop merrily.","Los conejos saltan alegremente."
